"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"10228",133,0.100631863822805,0.363784584159615,-0.613041090739339,0.100698586415252,0.813916963896057,0.10082039635573,3.26537573861263e-11,133,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-20,"2"
"10229",134,0.0705125011129291,0.360280150643314,-0.636307690740304,0.0705863721803209,0.776904021460025,0.0707220316811044,3.33810611518249e-11,134,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-21,"2"
"10230",135,0.0622730742666895,0.361872174957424,-0.64766369708464,0.0623448053481369,0.771793319541951,0.0624762824803257,3.30689763851415e-11,135,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-22,"2"
"10231",136,0.0541952510651413,0.355701326142722,-0.643660929563769,0.0542745255349998,0.751591288471397,0.0544200191671702,3.36977563018996e-11,136,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-23,"2"
"10232",137,0.0024322780497787,0.3653314083601,-0.714294730298491,0.00250633147545408,0.718730060560865,0.00264298916495164,3.37191363973171e-11,137,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-24,"2"
"10233",138,-0.0491692471848496,0.367681194121168,-0.770514626273405,-0.049091361713129,0.671725671881909,-0.0489465468048957,3.45927756819778e-11,138,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-25,"2"
"10234",139,-0.100609433670428,0.362892217527912,-0.812591597343064,-0.100520988556049,0.610862111704813,-0.100355574063484,3.6254980872209e-11,139,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-26,"2"
"10235",140,-0.161088542115225,0.369796633830622,-0.886610738765821,-0.160999969809487,0.563923446304163,-0.160833044693157,3.68867561198148e-11,140,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-27,"2"
"10236",141,-0.221406609751652,0.369820522863758,-0.946991475659203,-0.221311944495383,0.503633871801111,-0.221132554796574,3.83038873958976e-11,141,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-28,"2"
"10237",142,-0.257224595843731,0.376680692543468,-0.996260564239219,-0.25713080907589,0.481272917545173,-0.256952105393731,3.84522356887591e-11,142,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-29,"2"
"10238",143,-0.293285985228815,0.377268715686909,-1.03348310133455,-0.293189095870741,0.446355388116808,-0.293003924875277,3.92239890220128e-11,143,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-30,"2"
"10239",144,-0.279869165830332,0.380832256347939,-1.02704033741393,-0.279777727474049,0.466777385163548,-0.279603113019659,3.82388091422054e-11,144,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-01,"2"
"10240",145,-0.2662915878877,0.378421648959935,-1.00872797165121,-0.266202757679342,0.475634580651494,-0.266033743059672,3.77818644434346e-11,145,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-02,"2"
"10241",146,-0.252553231295208,0.369920042133284,-0.978320401128232,-0.252462963914205,0.472694555719531,-0.252292258731747,3.78640961811468e-11,146,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-03,"2"
"10242",147,-0.22588364940141,0.37073291742241,-0.953234098274959,-0.22579769253078,0.500971786184536,-0.225635602304212,3.67576463719348e-11,147,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-04,"2"
"10243",148,-0.199053191129117,0.364784519658025,-0.914740521749848,-0.198966581354918,0.51613461401866,-0.198804115934906,3.63031686545054e-11,148,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-05,"2"
"10244",149,-0.139596208437503,0.363252231336631,-0.852256217743374,-0.13951800090958,0.572611314120126,-0.139372857907071,3.45395109718134e-11,149,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-06,"2"
"10245",150,-0.0799781592255939,0.354314963798745,-0.775111575845396,-0.079900076889051,0.614702014345433,-0.0797568548821917,3.36411020932585e-11,150,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-07,"2"
"10246",151,-0.0655023804510908,0.361625471782852,-0.774938777279459,-0.0654365429177372,0.643550976502924,-0.0653167102678318,3.23259774500254e-11,151,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-08,"2"
"10247",152,-0.0508653392719417,0.361334843161584,-0.759722589956531,-0.0508028541182544,0.657627800902825,-0.0506897792094468,3.18176808583256e-11,152,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-09,"2"
"10248",153,-0.0360670022184726,0.353424285484968,-0.729427345243456,-0.0359984923977098,0.656894141096323,-0.035874584082902,3.2037565345429e-11,153,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-10,"2"
"10249",154,-0.0443019156452099,0.357595069131157,-0.745829367498463,-0.0442378308924231,0.656851982064956,-0.0441220579652769,3.17513266922234e-11,154,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-11,"2"
"10250",155,-0.0523755245371352,0.353708366859614,-0.746295929075746,-0.052305860128781,0.641139333581645,-0.0521794631644091,3.23031724935718e-11,155,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-12,"2"
"10251",156,-0.0686333078239632,0.359402892508584,-0.773711738623214,-0.0685671166557442,0.636059967621196,-0.068446770110742,3.22505461485175e-11,156,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-13,"2"
"10252",157,-0.084729842580158,0.357276248399965,-0.785653427526573,-0.084657887875517,0.615775723188028,-0.0845263173786369,3.29960521808788e-11,157,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-14,"2"
"10253",158,-0.104741090708896,0.365040608617018,-0.820878606135222,-0.104673829164565,0.611005928492242,-0.104550483831794,3.2858531507641e-11,158,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-15,"2"
"10254",159,-0.124591170302865,0.365625218418139,-0.841883951777747,-0.124520691967766,0.592292998096195,-0.124390811053554,3.3393434494769e-11,159,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-16,"2"
"10255",160,-0.144280126654408,0.35906518805625,-0.848736595533796,-0.144199183456578,0.559707729783605,-0.144049308299053,3.46408206007326e-11,160,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-17,"2"
"10256",161,-0.182594168947361,0.365675486129251,-0.900010757936044,-0.182514339509613,0.534361160980772,-0.182365502955169,3.49956970195957e-11,161,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-18,"2"
"10257",162,-0.220747244653218,0.365172773168733,-0.937193621635357,-0.220661527475344,0.49520473590659,-0.220500766580699,3.61193487046669e-11,162,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-07-19,"2"
